hitObjectColliderName,hits
Basketball_Court -3D,689
Bench_v1,62
Bench_v1 (1),94
Bench_v1 (2),119
Bench_v1 (3),108
Bench_v1 (4),80
Bench_v1 (5),79
Bench_v1 (6),63
Bench_v1 (7),72
Bench_v1 (8),7
Body,10967
Broadleaf_Mobile,17
Broadleaf_Mobile (1),12
Broadleaf_Mobile (10),8
Broadleaf_Mobile (12),6
Broadleaf_Mobile (13),33
Broadleaf_Mobile (14),3
Broadleaf_Mobile (180),3
Broadleaf_Mobile (186),16
Broadleaf_Mobile (189),2
Broadleaf_Mobile (192),19
Broadleaf_Mobile (2),27
Broadleaf_Mobile (202),13
Broadleaf_Mobile (206),6
Broadleaf_Mobile (218),7
Broadleaf_Mobile (223),2
Broadleaf_Mobile (3),49
Broadleaf_Mobile (32),8
Broadleaf_Mobile (4),6
Broadleaf_Mobile (49),2
Broadleaf_Mobile (5),39
Broadleaf_Mobile (53),2
Broadleaf_Mobile (54),9
Broadleaf_Mobile (55),2
Broadleaf_Mobile (56),2
Broadleaf_Mobile (6),2
Broadleaf_Mobile (62),2
Broadleaf_Mobile (7),2
Broadleaf_Mobile (8),18
Broadleaf_Mobile (9),5
Building_100,374
Building_101,497
Building_102,766
Building_103,724
Building_104,853
Building_105,195
Building_106,304
Building_107,258
Building_108,364
Building_109,585
Building_110,489
Building_111,222
Building_112,239
Building_113,691
Building_114,254
Building_115,345
Building_116,143
Building_117,503
Building_118,284
Building_119,534
Building_120,424
Building_121,352
Building_122,394
Building_123,824
Building_124,886
Building_125,264
Building_126,264
Building_127,196
Building_128,333
Building_129,22
Building_130,497
Building_131,821
Building_132,778
Building_133,973
Building_134,210
Building_135,499
Building_136,553
Building_137,1057
Building_138,623
Building_139,1335
Building_140,725
Building_141,882
Building_142,1304
Building_143,424
Building_144,666
Building_145,1272
Building_146,378
Building_147,1315
Building_148,813
Building_149,417
Building_150,689
Building_151,299
Building_152,902
Building_153,727
Building_154,1583
Building_155,213
Building_156,250
Building_157,203
